product_id,product_name,jumlah_penjualan,harga,diskon,status
P00159,Produk 159,252,167746,5,Tidak
P00160,Produk 160,147,108522,7,Tidak
P00161,Produk 161,175,120768,12,Tidak
P00162,Produk 162,188,147374,8,Tidak
P00163,Produk 163,147,97801,5,Tidak
P00164,Produk 164,112,68928,11,Tidak
P00165,Produk 165,157,95915,18,Laris
P00166,Produk 166,173,133159,10,Laris
P00167,Produk 167,210,94305,13,Laris
P00168,Produk 168,185,149212,10,Laris
P00169,Produk 169,92,77131,8,Laris
P00170,Produk 170,177,88422,14,Tidak
P00171,Produk 171,184,74150,13,Tidak
P00172,Produk 172,113,111939,21,Laris
P00173,Produk 173,152,96021,15,Tidak
P00174,Produk 174,176,100895,11,Tidak
P00175,Produk 175,144,108476,11,Tidak
P00176,Produk 176,201,133120,10,Tidak
P00177,Produk 177,163,96175,14,Laris
P00178,Produk 178,194,123273,10,Laris
P00179,Produk 179,160,130322,9,Tidak
P00180,Produk 180,129,107192,12,Tidak
P00181,Produk 181,188,119418,11,Laris
P00182,Produk 182,221,118837,7,Tidak
P00183,Produk 183,176,120303,10,Tidak
P00184,Produk 184,196,77993,13,Tidak
P00185,Produk 185,100,117429,18,Laris
P00186,Produk 186,91,68631,14,Tidak
P00187,Produk 187,152,94750,11,Tidak
P00188,Produk 188,183,91265,5,Laris
P00189,Produk 189,189,146160,12,Laris
P00190,Produk 190,176,113192,16,Laris
P00191,Produk 191,105,82753,10,Tidak
P00192,Produk 192,204,88808,12,Laris
P00193,Produk 193,175,107304,13,Laris
P00194,Produk 194,168,111923,15,Laris
P00195,Produk 195,139,99610,12,Tidak
P00196,Produk 196,160,88889,11,Tidak
P00197,Produk 197,209,110917,11,Tidak
P00198,Produk 198,202,92561,14,Laris
P00199,Produk 199,223,122127,6,Tidak
P00200,Produk 200,183,124031,9,Tidak
P00201,Produk 201,252,168655,8,Tidak
P00202,Produk 202,247,134829,11,Tidak
P00203,Produk 203,193,177242,8,Tidak
P00204,Produk 204,174,111580,11,Tidak
P00205,Produk 205,156,135423,14,Laris
P00206,Produk 206,64,57075,15,Tidak
P00207,Produk 207,109,89922,13,Laris
P00208,Produk 208,125,101690,20,Laris
P00209,Produk 209,114,110740,10,Tidak
P00210,Produk 210,118,21991,14,Tidak
P00211,Produk 211,215,84993,12,Laris
P00212,Produk 212,182,121383,11,Tidak
P00213,Produk 213,111,79085,14,Tidak
P00214,Produk 214,150,107144,9,Tidak
P00215,Produk 215,153,87590,21,Laris
P00216,Produk 216,219,160509,5,Laris
P00217,Produk 217,212,107099,9,Tidak
P00218,Produk 218,195,108933,13,Laris
P00219,Produk 219,201,75732,18,Laris
P00220,Produk 220,129,128044,10,Tidak
P00221,Produk 221,219,93845,11,Tidak
P00222,Produk 222,190,152591,8,Tidak
P00223,Produk 223,244,175353,12,Tidak
P00224,Produk 224,174,133967,7,Tidak
P00225,Produk 225,200,123576,8,Tidak
P00226,Produk 226,168,85124,20,Laris
P00227,Produk 227,239,143244,7,Tidak
P00228,Produk 228,174,110090,10,Tidak
P00229,Produk 229,148,105846,9,Tidak
P00230,Produk 230,167,108245,14,Laris
P00231,Produk 231,186,123561,9,Tidak
P00232,Produk 232,195,104680,18,Tidak
P00233,Produk 233,214,69972,10,Laris
P00234,Produk 234,133,63762,8,Tidak
P00235,Produk 235,201,107849,13,Laris
P00236,Produk 236,164,119766,6,Tidak
P00237,Produk 237,113,26519,17,Tidak
P00238,Produk 238,156,134779,13,Laris
P00239,Produk 239,229,162411,6,Tidak
P00240,Produk 240,163,93996,7,Tidak
P00241,Produk 241,151,128079,15,Laris
P00242,Produk 242,158,93984,17,Laris
P00243,Produk 243,217,113178,8,Laris
P00244,Produk 244,245,127324,7,Tidak
P00245,Produk 245,184,125802,11,Laris
P00246,Produk 246,101,103397,21,Laris
P00247,Produk 247,137,120435,10,Tidak
P00248,Produk 248,163,106827,10,Tidak
P00249,Produk 249,186,86100,14,Laris
P00250,Produk 250,219,104556,3,Tidak
P00251,Produk 251,239,131720,12,Tidak
P00252,Produk 252,174,128299,15,Laris
P00253,Produk 253,204,100002,8,Tidak
P00254,Produk 254,193,139082,8,Tidak
P00255,Produk 255,89,69073,11,Laris
P00256,Produk 256,154,114500,19,Laris
P00257,Produk 257,241,128733,4,Laris
P00258,Produk 258,145,111553,11,Tidak
P00259,Produk 259,165,106753,15,Laris
P00260,Produk 260,156,85078,22,Laris
P00261,Produk 261,183,150426,9,Laris
P00262,Produk 262,230,84124,12,Laris
P00263,Produk 263,191,94358,9,Tidak
P00264,Produk 264,225,151334,5,Tidak
P00265,Produk 265,135,112701,10,Tidak
P00266,Produk 266,184,113845,15,Laris
P00267,Produk 267,172,119398,11,Tidak
P00268,Produk 268,186,114786,11,Laris
P00269,Produk 269,147,106540,13,Tidak
P00270,Produk 270,124,83356,11,Laris
P00271,Produk 271,140,155671,11,Laris
P00272,Produk 272,186,114926,12,Tidak
P00273,Produk 273,214,81973,14,Laris
P00274,Produk 274,145,110322,11,Laris
P00275,Produk 275,147,148239,11,Laris
P00276,Produk 276,241,120273,8,Tidak
P00277,Produk 277,154,119550,14,Laris
P00278,Produk 278,195,123973,8,Laris
P00279,Produk 279,165,111535,15,Laris
P00280,Produk 280,88,81786,11,Tidak
P00281,Produk 281,173,142484,8,Tidak
P00282,Produk 282,181,132263,12,Tidak
P00283,Produk 283,123,99462,22,Laris
P00284,Produk 284,192,94768,14,Laris
P00285,Produk 285,219,118650,6,Tidak
P00286,Produk 286,183,93038,10,Tidak
P00287,Produk 287,109,83022,13,Tidak
P00288,Produk 288,108,112377,22,Laris
P00289,Produk 289,128,157725,13,Laris
P00290,Produk 290,241,134433,7,Tidak
P00291,Produk 291,141,102177,11,Tidak
P00292,Produk 292,180,125194,12,Laris
P00293,Produk 293,220,75001,15,Laris
P00294,Produk 294,143,95713,19,Laris
P00295,Produk 295,137,114317,19,Laris
P00296,Produk 296,196,92787,13,Tidak
P00297,Produk 297,139,122044,7,Tidak
P00298,Produk 298,151,77525,19,Laris
P00299,Produk 299,163,112239,16,Laris
P00300,Produk 300,131,114934,8,Tidak
P00301,Produk 301,191,103789,12,Tidak
P00302,Produk 302,149,117463,15,Laris
P00303,Produk 303,211,117692,10,Tidak
P00304,Produk 304,203,97041,14,Laris
P00305,Produk 305,190,109571,4,Tidak
P00306,Produk 306,169,103089,16,Laris
P00307,Produk 307,148,125004,17,Laris
P00308,Produk 308,177,121206,9,Tidak
P00309,Produk 309,129,87869,19,Laris
P00310,Produk 310,225,112889,8,Laris
P00311,Produk 311,168,110793,7,Tidak
P00312,Produk 312,134,95724,13,Tidak
P00313,Produk 313,125,115800,22,Laris
P00314,Produk 314,226,98420,11,Tidak
P00315,Produk 315,130,109774,21,Laris
P00316,Produk 316,121,113643,10,Tidak
P00317,Produk 317,158,94956,9,Tidak
P00318,Produk 318,130,69835,13,Tidak
P00319,Produk 319,193,155094,8,Tidak
P00320,Produk 320,192,133250,10,Tidak
P00321,Produk 321,157,126223,8,Tidak
P00322,Produk 322,146,116656,7,Tidak
P00323,Produk 323,173,50288,23,Laris
P00324,Produk 324,169,132056,15,Tidak
P00325,Produk 325,120,82109,11,Tidak
P00326,Produk 326,167,84469,15,Tidak
P00327,Produk 327,165,102259,19,Laris
P00328,Produk 328,123,112375,10,Laris
P00329,Produk 329,179,118373,10,Tidak
P00330,Produk 330,129,117574,18,Laris
P00331,Produk 331,159,78825,8,Tidak
P00332,Produk 332,235,104418,8,Laris
P00333,Produk 333,189,136060,11,Tidak
P00334,Produk 334,107,86529,12,Tidak
P00335,Produk 335,137,127611,8,Tidak
P00336,Produk 336,163,124844,12,Laris
P00337,Produk 337,120,97434,20,Laris
P00338,Produk 338,159,102567,17,Laris
P00339,Produk 339,130,60862,12,Tidak
P00340,Produk 340,177,122959,5,Tidak
P00341,Produk 341,198,102650,12,Laris
P00342,Produk 342,218,88869,13,Laris
P00343,Produk 343,80,88381,12,Laris
P00344,Produk 344,181,156846,9,Tidak
P00345,Produk 345,178,117974,14,Laris
P00346,Produk 346,202,136968,9,Tidak
P00347,Produk 347,171,128404,8,Tidak
P00348,Produk 348,254,118498,9,Tidak
P00349,Produk 349,124,96037,8,Tidak
P00350,Produk 350,199,94708,16,Laris
P00351,Produk 351,227,132646,6,Laris
P00352,Produk 352,135,102687,8,Tidak
P00353,Produk 353,156,112892,16,Tidak
P00354,Produk 354,206,108118,13,Laris
P00355,Produk 355,154,107483,15,Laris
P00356,Produk 356,146,58256,20,Laris
P00357,Produk 357,197,156029,9,Laris
P00358,Produk 358,221,148872,6,Tidak
P00359,Produk 359,159,90895,18,Laris
P00360,Produk 360,170,125439,4,Tidak
P00361,Produk 361,218,137878,11,Tidak
P00362,Produk 362,144,102346,11,Tidak
P00363,Produk 363,171,92221,17,Laris
P00364,Produk 364,189,158588,8,Tidak
P00365,Produk 365,228,76519,11,Tidak
P00366,Produk 366,117,55762,7,Tidak
P00367,Produk 367,157,108974,16,Laris
P00368,Produk 368,145,85044,14,Tidak
P00369,Produk 369,199,109832,7,Tidak
P00370,Produk 370,137,147428,12,Laris
P00371,Produk 371,194,74013,16,Laris
P00372,Produk 372,118,84051,14,Tidak
P00373,Produk 373,167,109121,8,Tidak
P00374,Produk 374,179,120505,8,Tidak
P00375,Produk 375,155,106899,15,Laris
P00376,Produk 376,176,86189,17,Laris
P00377,Produk 377,253,139248,7,Laris
P00378,Produk 378,194,159505,6,Tidak
P00379,Produk 379,87,114560,16,Tidak
P00380,Produk 380,177,100959,16,Laris
P00381,Produk 381,204,130710,12,Tidak
P00382,Produk 382,168,80705,18,Laris
P00383,Produk 383,149,126796,15,Laris
P00384,Produk 384,146,104599,18,Laris
P00385,Produk 385,114,96681,12,Tidak
P00386,Produk 386,229,116536,11,Laris
P00387,Produk 387,155,69633,21,Laris
P00388,Produk 388,178,101164,14,Laris
P00389,Produk 389,187,111442,13,Laris
P00390,Produk 390,186,109360,8,Tidak
P00391,Produk 391,181,91921,15,Laris
P00392,Produk 392,137,126623,18,Laris
P00393,Produk 393,206,111708,13,Laris
P00394,Produk 394,178,101179,9,Laris
P00395,Produk 395,127,87260,9,Tidak
P00396,Produk 396,149,137087,16,Laris
P00397,Produk 397,154,97925,18,Laris
P00398,Produk 398,147,146720,13,Laris
P00399,Produk 399,202,137284,9,Laris
P00400,Produk 400,190,101384,14,Laris
P00401,Produk 401,173,85698,13,Laris
P00402,Produk 402,163,130577,13,Laris
P00403,Produk 403,144,108418,19,Laris
P00404,Produk 404,162,120596,9,Tidak
P00405,Produk 405,209,128546,9,Tidak
P00406,Produk 406,174,122892,6,Tidak
P00407,Produk 407,82,84300,8,Tidak
P00408,Produk 408,161,124423,6,Tidak
P00409,Produk 409,164,104338,16,Laris
P00410,Produk 410,173,90960,19,Laris
P00411,Produk 411,178,101420,14,Laris
P00412,Produk 412,170,110509,13,Laris
P00413,Produk 413,201,110888,13,Laris
P00414,Produk 414,118,93768,23,Laris
P00415,Produk 415,153,87777,12,Tidak
P00416,Produk 416,167,115148,11,Tidak
P00417,Produk 417,137,90386,10,Tidak
P00418,Produk 418,164,112340,12,Laris
P00419,Produk 419,142,107039,15,Laris
P00420,Produk 420,171,110546,13,Tidak
P00421,Produk 421,167,117918,11,Tidak
P00422,Produk 422,78,74623,26,Laris
P00423,Produk 423,176,127450,7,Tidak
P00424,Produk 424,176,102294,16,Laris
P00425,Produk 425,163,86754,20,Laris
P00426,Produk 426,125,94517,20,Laris
P00427,Produk 427,191,108545,6,Tidak
P00428,Produk 428,221,145780,5,Laris
P00429,Produk 429,157,107963,9,Tidak
P00430,Produk 430,128,114816,19,Tidak
P00431,Produk 431,183,140568,13,Laris
P00432,Produk 432,137,74742,21,Laris
P00433,Produk 433,154,63021,13,Tidak
P00434,Produk 434,160,137041,12,Laris
P00435,Produk 435,190,135867,8,Laris
P00436,Produk 436,152,93773,9,Tidak
P00437,Produk 437,196,116223,8,Tidak
P00438,Produk 438,119,123246,17,Laris
P00439,Produk 439,148,109233,19,Laris
P00440,Produk 440,146,148671,9,Tidak
P00441,Produk 441,94,61396,9,Tidak
P00442,Produk 442,151,131559,12,Laris
P00443,Produk 443,159,96027,11,Laris
P00444,Produk 444,186,86286,16,Laris
P00445,Produk 445,167,65668,19,Laris
P00446,Produk 446,221,142796,7,Tidak
P00447,Produk 447,153,88807,20,Laris
P00448,Produk 448,165,86018,5,Tidak
P00449,Produk 449,127,71934,12,Tidak
P00450,Produk 450,182,155168,6,Tidak
P00451,Produk 451,166,96517,7,Tidak
P00452,Produk 452,176,101567,13,Tidak
P00453,Produk 453,159,131084,7,Tidak
P00454,Produk 454,146,105325,16,Laris
P00455,Produk 455,160,105104,16,Laris
P00456,Produk 456,188,117572,15,Laris
P00457,Produk 457,175,93966,11,Tidak
P00458,Produk 458,178,138157,13,Laris
P00459,Produk 459,218,66446,16,Laris
P00460,Produk 460,175,113515,11,Tidak
P00461,Produk 461,195,104969,13,Tidak
P00462,Produk 462,198,120137,12,Tidak
P00463,Produk 463,121,100730,9,Tidak
P00464,Produk 464,97,65366,14,Tidak
P00465,Produk 465,207,118593,8,Tidak
P00466,Produk 466,134,132094,16,Laris
P00467,Produk 467,187,83250,17,Laris
P00468,Produk 468,146,62429,22,Laris
P00469,Produk 469,179,99053,14,Laris
P00470,Produk 470,147,77991,11,Tidak
P00471,Produk 471,157,80527,21,Laris
P00472,Produk 472,146,120202,13,Tidak
P00473,Produk 473,131,119638,16,Laris
P00474,Produk 474,166,127004,4,Tidak
P00475,Produk 475,148,144186,7,Tidak
P00476,Produk 476,164,124425,15,Laris
P00477,Produk 477,147,116094,17,Laris
P00478,Produk 478,138,61926,8,Tidak
P00479,Produk 479,155,114933,7,Tidak
P00480,Produk 480,162,80525,10,Tidak
P00481,Produk 481,124,110312,13,Tidak
P00482,Produk 482,221,103707,11,Tidak
P00483,Produk 483,163,99091,20,Laris
P00484,Produk 484,99,85741,14,Tidak
P00485,Produk 485,107,115442,11,Tidak
P00486,Produk 486,192,86054,8,Tidak
P00487,Produk 487,131,113573,7,Tidak
P00488,Produk 488,162,112901,11,Tidak
P00489,Produk 489,200,145303,9,Laris
P00490,Produk 490,203,140504,10,Tidak
P00491,Produk 491,149,85928,8,Tidak
P00492,Produk 492,158,83012,20,Laris
P00493,Produk 493,176,84464,18,Laris
P00494,Produk 494,191,118426,11,Laris
P00495,Produk 495,137,73750,11,Tidak
P00496,Produk 496,185,107537,10,Tidak
P00497,Produk 497,97,81003,13,Tidak
P00498,Produk 498,214,141093,9,Tidak
P00499,Produk 499,178,127140,12,Laris
P00500,Produk 500,184,116200,9,Tidak
P00501,Produk 501,159,102421,8,Laris
P00502,Produk 502,143,107601,18,Laris
P00503,Produk 503,204,110631,13,Laris
P00504,Produk 504,164,88675,11,Tidak
P00505,Produk 505,165,94489,18,Laris
P00506,Produk 506,154,76753,19,Laris
P00507,Produk 507,154,100962,17,Laris
P00508,Produk 508,148,90305,12,Tidak
P00509,Produk 509,121,82564,11,Tidak
P00510,Produk 510,149,109260,19,Laris
P00511,Produk 511,136,95487,21,Laris
P00512,Produk 512,168,107928,9,Tidak
P00513,Produk 513,211,165222,4,Tidak
P00514,Produk 514,157,107951,16,Laris
P00515,Produk 515,146,95553,9,Tidak
P00516,Produk 516,156,99319,16,Tidak
P00517,Produk 517,175,99809,15,Laris
P00518,Produk 518,135,78474,12,Tidak
P00519,Produk 519,167,76947,20,Laris
P00520,Produk 520,187,88829,17,Laris
P00521,Produk 521,189,88069,14,Laris
P00522,Produk 522,182,116349,11,Tidak
P00523,Produk 523,104,50034,9,Tidak
P00524,Produk 524,166,110171,17,Laris
P00525,Produk 525,217,103678,13,Tidak
P00526,Produk 526,166,111770,10,Tidak
P00527,Produk 527,120,90344,10,Tidak
P00528,Produk 528,203,132738,8,Laris
P00529,Produk 529,216,91031,14,Laris
P00530,Produk 530,170,104160,15,Laris
P00531,Produk 531,153,111684,10,Tidak
P00532,Produk 532,92,76599,13,Tidak
P00533,Produk 533,232,85198,14,Laris
P00534,Produk 534,129,133782,18,Laris
P00535,Produk 535,154,105375,9,Tidak
P00536,Produk 536,195,181302,4,Laris
P00537,Produk 537,135,92056,12,Tidak
P00538,Produk 538,256,176311,2,Tidak
P00539,Produk 539,184,86180,10,Tidak
P00540,Produk 540,105,78908,13,Tidak
P00541,Produk 541,149,85537,21,Laris
P00542,Produk 542,61,79074,16,Tidak
P00543,Produk 543,187,112086,7,Tidak
P00544,Produk 544,172,110829,13,Laris
P00545,Produk 545,189,114767,13,Tidak
P00546,Produk 546,135,121647,20,Laris
P00547,Produk 547,162,93415,12,Tidak
P00548,Produk 548,175,98351,10,Tidak
P00549,Produk 549,158,123832,13,Tidak
P00550,Produk 550,138,117964,18,Laris
P00551,Produk 551,160,117792,15,Laris
P00552,Produk 552,165,127201,4,Tidak
P00553,Produk 553,170,114728,15,Laris
P00554,Produk 554,176,111312,10,Tidak
P00555,Produk 555,145,154765,5,Tidak
P00556,Produk 556,189,108172,14,Laris
P00557,Produk 557,138,111310,19,Laris
P00558,Produk 558,149,120840,11,Laris
P00559,Produk 559,195,70670,13,Tidak
P00560,Produk 560,203,108272,10,Tidak
P00561,Produk 561,187,115430,11,Laris
P00562,Produk 562,204,164760,5,Tidak
P00563,Produk 563,136,94187,12,Tidak
P00564,Produk 564,145,63148,24,Laris
P00565,Produk 565,163,120661,17,Laris
P00566,Produk 566,168,127037,12,Laris
P00567,Produk 567,166,112198,3,Laris
P00568,Produk 568,129,101283,20,Laris
P00569,Produk 569,114,70036,13,Tidak
P00570,Produk 570,179,125358,10,Laris
P00571,Produk 571,71,80206,15,Tidak
P00572,Produk 572,187,83221,17,Laris
P00573,Produk 573,108,86023,11,Tidak
P00574,Produk 574,201,156669,14,Tidak
P00575,Produk 575,82,182667,15,Laris
P00576,Produk 576,221,142949,10,Tidak
P00577,Produk 577,188,115294,11,Laris
P00578,Produk 578,145,96687,19,Laris
P00579,Produk 579,218,104516,12,Tidak
P00580,Produk 580,180,101873,9,Tidak
P00581,Produk 581,143,86025,9,Tidak
P00582,Produk 582,173,128896,13,Laris
P00583,Produk 583,155,64119,25,Laris
P00584,Produk 584,121,75216,6,Tidak
P00585,Produk 585,168,114562,13,Tidak
P00586,Produk 586,209,120383,12,Tidak
P00587,Produk 587,198,90091,12,Laris
P00588,Produk 588,108,109219,9,Tidak
P00589,Produk 589,161,157370,10,Tidak
P00590,Produk 590,218,155743,5,Tidak
P00591,Produk 591,241,146636,5,Tidak
P00592,Produk 592,129,126228,7,Tidak
P00593,Produk 593,203,93662,16,Laris
P00594,Produk 594,162,138706,11,Laris
P00595,Produk 595,158,109550,14,Laris
P00596,Produk 596,192,123943,11,Laris
P00597,Produk 597,161,123678,10,Tidak
P00598,Produk 598,192,86813,18,Laris
P00599,Produk 599,152,106840,17,Laris
P00600,Produk 600,178,86277,18,Laris
P00601,Produk 601,136,113998,18,Laris
P00602,Produk 602,136,136605,5,Tidak
P00603,Produk 603,129,111713,20,Laris
P00604,Produk 604,171,107431,9,Tidak
P00605,Produk 605,191,109367,11,Tidak
P00606,Produk 606,175,79328,17,Laris
P00607,Produk 607,110,102637,21,Laris
P00608,Produk 608,96,87104,10,Tidak
P00609,Produk 609,200,164685,4,Tidak
P00610,Produk 610,152,85582,19,Laris
P00611,Produk 611,218,88584,13,Laris
P00612,Produk 612,149,88147,10,Tidak
P00613,Produk 613,173,126418,9,Tidak
P00614,Produk 614,166,95655,10,Tidak
P00615,Produk 615,180,101252,14,Laris
P00616,Produk 616,149,80013,12,Tidak
P00617,Produk 617,195,117580,7,Tidak
P00618,Produk 618,204,108238,10,Laris
P00619,Produk 619,173,87253,7,Tidak
P00620,Produk 620,156,88932,19,Laris
P00621,Produk 621,192,136683,7,Tidak
P00622,Produk 622,186,85312,14,Laris
P00623,Produk 623,163,129201,13,Laris
P00624,Produk 624,236,158093,11,Tidak
P00625,Produk 625,250,126465,9,Tidak
P00626,Produk 626,191,124121,11,Laris
P00627,Produk 627,122,117719,18,Laris
P00628,Produk 628,248,178096,7,Tidak
P00629,Produk 629,153,98021,8,Tidak
P00630,Produk 630,81,101309,25,Laris
P00631,Produk 631,166,141396,13,Laris
P00632,Produk 632,134,150295,10,Tidak
P00633,Produk 633,155,100210,17,Laris
P00634,Produk 634,214,140082,8,Laris
P00635,Produk 635,177,125871,13,Laris
P00636,Produk 636,121,96673,13,Tidak
P00637,Produk 637,194,142444,6,Tidak
P00638,Produk 638,134,56473,15,Tidak
P00639,Produk 639,136,127479,8,Tidak
P00640,Produk 640,121,77456,14,Tidak
P00641,Produk 641,192,103347,14,Laris
P00642,Produk 642,126,127179,10,Tidak
P00643,Produk 643,164,106700,17,Laris
P00644,Produk 644,127,93093,23,Laris
P00645,Produk 645,141,108089,20,Laris
P00646,Produk 646,167,111135,16,Laris
P00647,Produk 647,136,136800,14,Laris
P00648,Produk 648,184,113345,11,Laris
